Forecast #,    Forecast Issue Date,    1week,    2week
         1,                 9/6/22,     110    ,  80
         2,                9/13/22,         ,
         3,                9/20/22,         ,
         4,                9/27/22,         ,
         5,                10/4/22,         ,
         6,               10/11/22,         ,
         7,               10/18/22,         ,
         8,               10/25/22,         ,
         9,                11/1/22,         ,
        10,               11/8/22,
        11,               11/15/22,         ,
        12,               11/22/22,         ,
        13,               11/29/22,         ,
